"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","deathsper100k","newdeathsper100k","days_since_case100","days_since_death10"
"32277","Switzerland",2020-09-16,239,48265,514,2039,11,39900,0,6326,557.7,5.9,73.1,23.6,0.1,195,187
"32484","Syria",2020-09-16,239,3654,40,163,3,889,18,2602,20.9,0.2,14.9,0.9,0,114,75
"32562","Taiwan",2020-09-16,239,500,1,7,0,477,1,16,2.1,0,0.1,0,0,182,0
"32767","Tajikistan",2020-09-16,239,9171,42,73,0,7941,45,1157,96.2,0.4,12.1,0.8,0,136,132
"32925","Tanzania, United Republic of",2020-09-16,239,509,0,21,0,183,0,305,0.9,0,0.5,0,0,152,149
"33200","Thailand",2020-09-16,239,3490,0,58,0,3325,9,107,5,0,0.2,0.1,0,185,169
"33440","The Bahamas",2020-09-16,239,3087,55,69,0,1533,51,1485,785.5,14,377.9,17.6,0,116,146
"33641","The Gambia",2020-09-16,239,3440,12,107,2,1851,114,1482,142.3,0.5,61.3,4.4,0.1,58,43
"33822","Timor-Leste",2020-09-16,239,27,0,0,0,26,0,1,2,0,0.1,0,0,0,0
"33954","Togo",2020-09-16,239,1608,13,40,0,1230,11,338,19.4,0.2,4.1,0.5,0,140,131
"34183","Trinidad and Tobago",2020-09-16,239,3327,104,58,2,810,12,2459,237.8,7.4,175.8,4.1,0.1,165,33
"34378","Tunisia",2020-09-16,239,8100,477,129,6,2309,47,5662,68.5,4,47.9,1.1,0.1,176,169
"34529","Turkey",2020-09-16,239,296391,1771,7249,63,262602,1342,26540,351.4,2.1,31.5,8.6,0.1,181,178
"34666","Uganda",2020-09-16,239,5266,143,60,2,2404,71,2802,11.5,0.3,6.1,0.1,0,133,34
"34909","UK",2020-09-16,239,380677,4007,41773,20,2190,6,336714,560.8,5.9,496,61.5,0,198,187
"35085","Ukraine",2020-09-16,239,166694,3016,3404,78,74981,1559,88309,381.2,6.9,201.9,7.8,0.2,175,171
"35419","United Arab Emirates",2020-09-16,239,81782,842,402,1,71456,821,9924,826.9,8.5,100.3,4.1,0,182,165
"35578","Uruguay",2020-09-16,239,1856,29,45,0,1559,14,252,53.4,0.8,7.3,1.3,0,180,150
"35837","USA",2020-09-16,239,6630051,38410,196763,1014,2525573,30446,3907715,2003,11.6,1180.6,59.4,0.3,196,196
"35908","Uzbekistan",2020-09-16,239,49015,586,407,5,45422,480,3186,146.4,1.8,9.5,1.2,0,172,136
"36232","Venezuela",2020-09-16,239,63416,761,511,9,51274,913,11631,223,2.7,40.9,1.8,0,174,148
"36451","Vietnam",2020-09-16,239,1063,0,35,0,936,5,92,1.1,0,0.1,0,0,178,41
"36645","West Bank and Gaza",2020-09-16,239,33006,756,243,14,22209,405,10554,687.6,15.8,219.9,5.1,0.3,171,75
"36839","Western Sahara",2020-09-16,239,10,0,1,0,8,0,1,1.7,0,0.2,0.2,0,0,0
"36995","Yemen",2020-09-16,239,2019,3,583,0,1221,2,215,6.8,0,0.7,2,0,124,127
"37147","Zambia",2020-09-16,239,13887,68,326,2,12869,279,692,75.5,0.4,3.8,1.8,0,139,100
"37197","Zimbabwe",2020-09-16,239,7598,22,224,0,5823,40,1551,51.1,0.1,10.4,1.5,0,112,68
