"","country.x","condoms","lubricants","prep","pep","needle","ost","naloxone","pit","cbt","lpt","st","apn","art","adherence","pmtct","sti","anc","lawsb","lawss","trainhcw","trainofficers","engage","services","empowerment","violencep","violencem","alpha3","pop","country.y","mention"
"82","Sierra Leone",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,"SLE","pris","Sierra Leone",1
"83","South Africa",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,"ZAF","pris","South Africa",1
"84","South Sudan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SSD","pris","South Sudan",0
"85","Swaziland",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,"SWZ","pris","Swaziland",1
"86","Togo",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TGO","pris","Togo",1
"87","Uganda",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,"UGA","pris","Uganda",1
"88","Tanzania, United Republic of",1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,"TZA","pris","United Republic of Tanzania",1
"89","Zambia",1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,"ZMB","pris","Zambia",1
"90","Zimbabwe",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,"ZWE","pris","Zimbabwe",1
"91","Algeria",1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,"DZA","pwid","Algeria",1
"92","Angola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AGO","pwid","Angola",0
"93","Benin",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"BEN","pwid","Benin",1
"94","Botswana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BWA","pwid","Botswana",0
"95","Burkina Faso",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"BFA","pwid","Burkina Faso",1
"96","Burundi",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,"BDI","pwid","Burundi",1
"97","Cape Verde",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"CPV","pwid","Cape Verde",1
"98","Cameroon",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,"CMR","pwid","Cameroon",1
"99","Central African Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CAF","pwid","Central African Republic",1
"100","Chad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TCD","pwid","Chad",1
"101","Comoros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"COM","pwid","Comoros",1
"102","Republic of the Congo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"COG","pwid","Congo",1
"103","Côte d’Ivoire",1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,"CIV","pwid","Côte d’Ivoire",1
"104","Democratic Republic of the Republic of the Congo",1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"COD","pwid","Democratic Republic of the Congo",1
"105","Eritrea",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ERI","pwid","Eritrea",1
"106","Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ETH","pwid","Ethiopia",0
"107","The Gambia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GMB","pwid","Gambia",1
"108","Ghana",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,"GHA","pwid","Ghana",1
"109","Guinea",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,"GIN","pwid","Guinea",1
"110","Guinea-Bissau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GNB","pwid","Guinea-Bissau",0
"111","Kenya",1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,"KEN","pwid","Kenya",1
"112","Lesotho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LSO","pwid","Lesotho",1
